  PID TT  STAT    TIME COMMAND
  424  0  DN   0:00.04 80: ./malloc (80)
 1016  0  DN   0:00.04 80: ./malloc (80)
 3132  0  DN   0:00.03 80: ./malloc (80)
 4002  0  DN   0:00.04 80: ./malloc (80)
 4794  0  DN   0:00.03 80: ./malloc (80)
 6312  0  DN   0:00.03 80: ./malloc (80)
 7419  0  DN   0:00.03 80: ./malloc (80)
 8765  0  DN   0:00.03 80: ./malloc (80)
 9452  0  DN   0:00.03 80: ./malloc (80)
13160  0  DN   0:00.03 80: ./malloc (80)
16203  0  DN   0:00.03 80: ./malloc (80)
17437  0  DN   0:00.03 80: ./malloc (80)
17732  0  DN   0:00.03 80: ./malloc (80)
17961  0  DN   0:00.03 80: ./malloc (80)
17984  0  DN   0:00.03 80: ./malloc (80)
18219  0  DN   0:00.03 80: ./malloc (80)
18414  0  DN   0:00.03 80: ./malloc (80)
21275  0  DN   0:00.03 80: ./malloc (80)
21533  0  DN   0:00.03 80: ./malloc (80)
21708  0  DN   0:00.03 80: ./malloc (80)
22430  0  DN   0:00.03 80: ./malloc (80)
23542  0  DN   0:00.03 80: ./malloc (80)
24258  0  DN   0:00.03 80: ./malloc (80)
25011  0  DN   0:00.03 80: ./malloc (80)
25353  0  DN   0:00.03 80: ./malloc (80)
26401  0  DN   0:00.05 80: ./malloc (80)
27394  0  DN   0:00.04 80: ./malloc (80)
29116  0  DN   0:00.03 80: ./malloc (80)
29732  0  DN   0:00.03 80: ./malloc (80)
31736  0  DN   0:00.03 80: ./malloc (80)
32674  0  DN   0:00.03 80: ./malloc (80)
32684  0  DN   0:00.03 80: ./malloc (80)
34225  0  DN   0:00.03 80: ./malloc (80)
36798  0  DN   0:00.03 80: ./malloc (80)
37190  0  DN   0:00.03 80: ./malloc (80)
37502  0  DN   0:00.04 80: ./malloc (80)
38164  0  DN   0:00.03 80: ./malloc (80)
39885  0  DN   0:00.03 80: ./malloc (80)
40076  0  DN   0:00.04 80: ./malloc (80)
40520  0  DN   0:00.04 80: ./malloc (80)
41786  0  DN   0:00.03 80: ./malloc (80)
42188  0  DN   0:00.03 80: ./malloc (80)
43861  0  DN   0:00.03 80: ./malloc (80)
44477  0  DN   0:00.03 80: ./malloc (80)
49318  0  DN   0:00.04 80: ./malloc (80)
51146  0  DN   0:00.03 80: ./malloc (80)
54436  0  DN   0:00.03 80: ./malloc (80)
54598  0  DN   0:00.03 80: ./malloc (80)
55473  0  DN   0:00.04 80: ./malloc (80)
55532  0  DN   0:00.03 80: ./malloc (80)
56110  0  DN   0:00.03 80: ./malloc (80)
56753  0  DN   0:00.03 80: ./malloc (80)
57050  0  DN   0:00.03 80: ./malloc (80)
57354  0  DN   0:00.03 80: ./malloc (80)
59088  0  DN   0:00.07 80: ./malloc (80)
59377  0  DN   0:00.03 80: ./malloc (80)
59492  0  DN   0:00.03 80: ./malloc (80)
59652  0  DN   0:00.03 80: ./malloc (80)
62060  0  DN   0:00.04 80: ./malloc (80)
63155  0  DN   0:00.03 80: ./malloc (80)
63956  0  DN   0:00.03 80: ./malloc (80)
64620  0  DN   0:00.04 80: ./malloc (80)
65379  0  DN   0:00.03 80: ./malloc (80)
67002  0  DN   0:00.03 80: ./malloc (80)
69315  0  DN   0:00.03 80: ./malloc (80)
73843  0  DN   0:00.03 80: ./malloc (80)
76831  0  DN   0:00.03 80: ./malloc (80)
77555  0  DN   0:00.03 80: ./malloc (80)
78166  0  DN   0:00.03 80: ./malloc (80)
78456  0  DN   0:00.03 80: ./malloc (80)
80979  0  DN   0:00.03 80: ./malloc (80)
83410  0  DN   0:00.03 80: ./malloc (80)
84135  0  DN   0:00.04 80: ./malloc (80)
86127  0  DN   0:00.03 80: ./malloc (80)
86904  0  DN   0:00.03 80: ./malloc (80)
87096  0  DN   0:00.03 80: ./malloc (80)
87186  0  DN   0:00.03 80: ./malloc (80)
87320  0  DN   0:00.03 80: ./malloc (80)
88068  0  DN   0:00.03 80: ./malloc (80)
88409  0  DN   0:00.03 80: ./malloc (80)
89962  0  DN   0:00.03 80: ./malloc (80)
92599  0  DN   0:00.03 80: ./malloc (80)
92800  0  DN   0:00.03 80: ./malloc (80)
93090  0  DN   0:00.03 80: ./malloc (80)
95033  0  DN   0:00.03 80: ./malloc (80)
95591  0  DN   0:00.03 80: ./malloc (80)
97249  0  DN   0:00.03 80: ./malloc (80)
97301  0  DN   0:00.03 80: ./malloc (80)
97480  0  DN   0:00.03 80: ./malloc (80)
98569  0  DN   0:00.03 80: ./malloc (80)
99963  0  DN   0:00.03 80: ./malloc (80)
